tf,sym,side,score,score_trend,score_smc,score_osc,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl
30m,DOGE/USDT,SHORT,24,11,4,2,0.0937,0.09537,0.091696,0.09036,1.782,45.3,False,TRENDING,2026-04-19 07:00:00+00:00,2026-04-19 13:00:00+00:00,0.09537,SL,False,LOSS,-10.0
30m,DOGE/USDT,SHORT,10,0,0,4,0.09546,0.095966,0.094853,0.094448,0.53,49.4,False,TRENDING,2026-04-19 13:00:00+00:00,2026-04-19 14:30:00+00:00,0.095966,SL,False,LOSS,-10.0
30m,DOGE/USDT,LONG,13,0,2,4,0.09538,0.09348,0.09766,0.09918,1.992,59.4,True,TRENDING,2026-04-19 14:30:00+00:00,2026-04-19 22:00:00+00:00,0.09348,SL,False,LOSS,-10.0
15m,ADA/USDT,LONG,13,5,1,1,0.2446,0.2433,0.2462,0.2472,0.53,46.1,False,TRENDING,2026-04-16 01:00:00+00:00,2026-04-16 02:15:00+00:00,0.2472,TP2,True,WIN,16.15
15m,ADA/USDT,LONG,21,11,2,3,0.249,0.2438,0.2552,0.2594,2.088,57.1,False,TRENDING,2026-04-16 02:30:00+00:00,2026-04-16 18:45:00+00:00,0.2594,TP2,True,WIN,15.96
15m,ADA/USDT,LONG,18,8,3,2,0.2586,0.2454,0.2744,0.285,5.104,70.0,False,TRENDING,2026-04-16 19:15:00+00:00,2026-04-18 19:45:00+00:00,0.2488,TIMEOUT,False,LOSS,-7.42
15m,ADA/USDT,SHORT,17,9,0,4,0.2488,0.2523,0.2446,0.2418,1.407,35.4,False,TRENDING,2026-04-18 19:45:00+00:00,2026-04-19 12:45:00+00:00,0.2488,SL_BE,True,WIN,6.0
15m,ADA/USDT,LONG,13,0,4,2,0.2481,0.2445,0.2524,0.2553,1.451,59.8,False,TRENDING,2026-04-19 12:45:00+00:00,2026-04-19 18:00:00+00:00,0.2445,SL,False,LOSS,-10.0
30m,ADA/USDT,LONG,13,0,0,3,0.2449,0.2414,0.2491,0.2519,1.429,51.8,False,TRENDING,2026-04-16 01:00:00+00:00,2026-04-16 07:00:00+00:00,0.2519,TP2,True,WIN,16.0
30m,ADA/USDT,LONG,13,0,2,4,0.2505,0.2438,0.2585,0.2639,2.675,67.3,False,TRENDING,2026-04-16 07:00:00+00:00,2026-04-17 13:00:00+00:00,0.2639,TP2,True,WIN,15.97
30m,ADA/USDT,LONG,14,0,2,2,0.2652,0.2521,0.2809,0.2914,4.94,69.2,True,TRENDING,2026-04-17 13:30:00+00:00,2026-04-18 10:00:00+00:00,0.2521,SL,False,LOSS,-10.0
