sym,tf,side,score,score_trend,score_smc,score_osc,score_liq,ep,sl,tp1,tp2,sl_pct,rsi,in_kz,regime,entry_ts,exit_ts,exit_px,exit_type,tp1_hit,outcome,pnl,pnl_pct,notional,balance_at_entry
XRP/USDT,15m,SHORT,10,0,1,1,8,0.628,0.6327,0.6224,0.6186,0.748,56.4,False,TRENDING,2024-03-23 16:30:00+00:00,2024-03-23 17:15:00+00:00,0.6327,SL,False,LOSS,-1.69,-0.75,225.71,1128.54
BNB/USDT,15m,LONG,10,0,0,2,8,564.9,552.1,580.26,590.5,2.266,57.2,False,TRENDING,2024-03-23 16:30:00+00:00,2024-03-23 23:45:00+00:00,552.1,SL,False,LOSS,-5.0,-2.27,220.53,1102.66
ADA/USDT,15m,LONG,10,0,0,2,8,0.6351,0.6177,0.656,0.6699,2.74,53.2,False,TRENDING,2024-03-23 16:30:00+00:00,2024-03-25 17:00:00+00:00,0.6663,TIMEOUT,True,WIN,9.39,4.1,228.98,1144.92
DOGE/USDT,30m,LONG,16,9,2,2,5,0.1696,0.1612,0.1797,0.1865,4.958,62.7,False,TRENDING,2024-03-23 19:00:00+00:00,2024-03-23 23:30:00+00:00,0.1612,SL,False,LOSS,-12.46,-4.95,251.49,1257.44
SOL/USDT,30m,SHORT,14,8,3,0,5,174.06,179.0,168.13,164.18,2.838,49.3,False,RANGING,2024-03-23 23:00:00+00:00,2024-03-24 20:30:00+00:00,179.0,SL,False,LOSS,-6.29,-2.84,221.67,1108.37
ETH/USDT,30m,SHORT,14,5,2,3,5,3360.23,3436.68,3268.49,3207.33,2.275,48.2,False,RANGING,2024-03-23 23:00:00+00:00,2024-03-24 22:00:00+00:00,3436.68,SL,False,LOSS,-4.96,-2.28,218.17,1090.84
ETH/USDT,1d,LONG,14,7,0,0,8,3455.79,3051.58,3940.84,4264.21,11.697,45.3,False,VOLATILE,2024-03-24 00:00:00+00:00,2024-03-28 00:00:00+00:00,3562.28,TIMEOUT,False,WIN,6.31,3.08,204.71,1023.57
ADA/USDT,4h,LONG,11,0,2,1,8,0.6272,0.5756,0.6891,0.7304,8.227,45.2,False,TRENDING,2024-03-24 00:00:00+00:00,2024-03-26 08:00:00+00:00,0.6763,TIMEOUT,False,WIN,16.34,7.83,208.78,1043.88
ETH/USDT,4h,LONG,12,2,2,0,8,3309.0,3140.71,3510.95,3645.58,5.086,41.9,False,TRENDING,2024-03-24 00:00:00+00:00,2024-03-25 16:00:00+00:00,3645.58,TP2,True,WIN,17.66,8.14,216.97,1084.84
ETH/USDT,15m,LONG,12,0,0,4,8,3349.8,3327.01,3377.15,3395.38,0.68,34.6,False,RANGING,2024-03-24 00:15:00+00:00,2024-03-24 03:00:00+00:00,3327.01,SL,False,LOSS,-1.45,-0.68,213.76,1068.79
SOL/USDT,15m,LONG,12,0,3,4,5,175.95,172.5,180.09,182.85,1.961,53.8,False,RANGING,2024-03-24 00:15:00+00:00,2024-03-24 03:45:00+00:00,172.5,SL,False,LOSS,-4.94,-1.96,251.76,1258.79
XRP/USDT,15m,LONG,12,3,0,2,8,0.621,0.6157,0.6274,0.6316,0.853,38.1,False,TRENDING,2024-03-24 00:30:00+00:00,2024-03-24 03:00:00+00:00,0.6157,SL,False,LOSS,-1.92,-0.85,225.37,1126.85
LINK/USDT,4h,SHORT,13,0,3,2,8,18.14,18.92,17.21,16.59,4.282,46.3,False,TRENDING,2024-03-24 04:00:00+00:00,2024-03-25 04:00:00+00:00,18.92,SL,False,LOSS,-9.41,-4.3,218.83,1094.16
SOL/USDT,15m,LONG,12,0,0,4,8,171.88,170.84,173.12,173.95,0.603,39.1,False,RANGING,2024-03-24 04:15:00+00:00,2024-03-24 06:45:00+00:00,171.88,SL_BE,True,WIN,0.9,0.36,250.77,1253.85
XRP/USDT,15m,SHORT,11,0,2,4,5,0.6156,0.6224,0.6074,0.602,1.105,34.0,False,TRENDING,2024-03-24 04:30:00+00:00,2024-03-24 05:30:00+00:00,0.6224,SL,False,LOSS,-2.49,-1.1,224.99,1124.93
BNB/USDT,15m,SHORT,11,0,2,4,5,550.7,561.7,537.5,528.7,1.997,34.2,False,TRENDING,2024-03-24 04:30:00+00:00,2024-03-24 12:45:00+00:00,561.7,SL,False,LOSS,-4.39,-2.0,219.53,1097.66
ETH/USDT,2h,SHORT,12,0,3,1,8,3343.18,3436.68,3230.98,3156.18,2.797,42.9,False,TRENDING,2024-03-24 06:00:00+00:00,2024-03-24 22:00:00+00:00,3436.68,SL,False,LOSS,-6.17,-2.8,220.69,1103.46
XRP/USDT,30m,LONG,16,9,2,2,5,0.6253,0.6131,0.6399,0.6497,1.951,59.2,False,TRENDING,2024-03-24 07:00:00+00:00,2024-03-25 16:00:00+00:00,0.6497,TP2,True,WIN,6.25,3.12,200.3,1001.52
DOGE/USDT,30m,LONG,16,9,2,2,5,0.1711,0.1612,0.1831,0.191,5.815,61.6,False,TRENDING,2024-03-24 07:00:00+00:00,2024-03-26 08:00:00+00:00,0.1798,TIMEOUT,True,WIN,15.06,6.05,249.0,1244.98
ADA/USDT,30m,SHORT,13,0,2,3,8,0.638,0.6422,0.633,0.6296,0.658,63.3,True,RANGING,2024-03-24 07:30:00+00:00,2024-03-24 14:00:00+00:00,0.6422,SL,False,LOSS,-1.42,-0.66,216.45,1082.25
AVAX/USDT,1h,LONG,12,0,2,2,8,54.08,52.85,55.56,56.54,2.274,44.3,True,RANGING,2024-03-24 08:00:00+00:00,2024-03-24 17:00:00+00:00,52.85,SL,False,LOSS,-6.38,-2.27,280.37,1401.85
SOL/USDT,1h,LONG,14,0,2,4,8,175.81,171.33,181.19,184.77,2.548,47.5,True,RANGING,2024-03-24 08:00:00+00:00,2024-03-24 22:00:00+00:00,184.77,TP2,True,WIN,11.52,4.08,282.53,1412.67
BTC/USDT,4h,LONG,13,1,2,2,8,65355.9,62171.2,69177.54,71725.3,4.873,47.3,False,RANGING,2024-03-24 08:00:00+00:00,2024-03-26 16:00:00+00:00,69488.4,TIMEOUT,True,WIN,11.18,6.09,183.67,918.33
ETH/USDT,15m,LONG,13,0,3,2,8,3349.25,3300.26,3408.04,3447.23,1.463,60.6,True,TRENDING,2024-03-24 08:15:00+00:00,2024-03-24 17:00:00+00:00,3349.25,SL_BE,True,WIN,1.87,0.88,213.47,1067.34
XRP/USDT,15m,LONG,17,9,0,2,8,0.6295,0.6131,0.6492,0.6623,2.605,58.3,True,TRENDING,2024-03-24 08:30:00+00:00,2024-03-25 19:30:00+00:00,0.6623,TP2,True,WIN,9.36,4.17,224.49,1122.44
SOL/USDT,2h,LONG,12,0,2,2,8,174.88,168.16,182.94,188.32,3.843,47.6,True,RANGING,2024-03-24 10:00:00+00:00,2024-03-25 06:00:00+00:00,188.32,TP2,True,WIN,15.78,6.15,256.67,1283.33
BNB/USDT,30m,LONG,13,0,4,1,8,555.1,548.9,562.54,567.5,1.117,48.4,False,RANGING,2024-03-24 11:00:00+00:00,2024-03-24 17:00:00+00:00,555.1,SL_BE,True,WIN,1.31,0.67,195.4,977.01
XRP/USDT,4h,LONG,12,3,2,0,8,0.6315,0.5971,0.6728,0.7003,5.447,56.5,True,RANGING,2024-03-24 12:00:00+00:00,2024-03-26 20:00:00+00:00,0.632,TIMEOUT,False,WIN,0.15,0.08,195.49,977.45
AVAX/USDT,4h,LONG,13,5,4,0,5,53.59,51.38,56.23,58.0,4.115,46.5,True,RANGING,2024-03-24 12:00:00+00:00,2024-03-25 08:00:00+00:00,58.0,TP2,True,WIN,12.59,6.58,191.45,957.24
BTC/USDT,1h,LONG,12,0,2,2,8,65650.0,63777.0,67897.6,69396.0,2.853,58.7,False,RANGING,2024-03-24 12:00:00+00:00,2024-03-25 14:00:00+00:00,69396.0,TP2,True,WIN,10.2,4.56,223.35,1116.77
SOL/USDT,15m,LONG,12,0,3,1,8,175.46,172.21,179.36,181.96,1.852,53.9,False,RANGING,2024-03-24 12:15:00+00:00,2024-03-24 21:15:00+00:00,181.96,TP2,True,WIN,7.44,2.96,250.95,1254.75
ADA/USDT,30m,SHORT,12,0,3,4,5,0.6352,0.6453,0.6231,0.615,1.59,51.9,True,RANGING,2024-03-24 15:30:00+00:00,2024-03-24 22:00:00+00:00,0.6453,SL,False,LOSS,-3.44,-1.59,216.17,1080.83
ADA/USDT,1h,SHORT,12,0,1,3,8,0.6308,0.6453,0.6134,0.6018,2.299,53.1,True,RANGING,2024-03-24 16:00:00+00:00,2024-03-24 22:00:00+00:00,0.6453,SL,False,LOSS,-5.56,-2.3,242.08,1210.41
BTC/USDT,15m,LONG,17,11,3,0,5,65578.0,64961.1,66318.28,66811.8,0.941,57.9,False,TRENDING,2024-03-24 16:15:00+00:00,2024-03-24 17:00:00+00:00,64961.1,SL,False,LOSS,-2.11,-0.94,223.93,1119.66
BNB/USDT,15m,LONG,19,10,2,4,5,560.5,554.1,568.18,573.3,1.142,53.0,False,TRENDING,2024-03-24 16:30:00+00:00,2024-03-24 17:00:00+00:00,554.1,SL,False,LOSS,-2.5,-1.14,218.65,1093.27
ADA/USDT,2h,SHORT,13,0,3,2,8,0.6333,0.6453,0.6189,0.6093,1.895,49.2,False,RANGING,2024-03-24 18:00:00+00:00,2024-03-24 22:00:00+00:00,0.6453,SL,False,LOSS,-4.57,-1.89,241.03,1205.13
BNB/USDT,30m,LONG,17,9,3,2,5,563.5,552.5,576.7,585.5,1.952,60.5,False,TRENDING,2024-03-24 19:00:00+00:00,2024-03-25 04:30:00+00:00,585.5,TP2,True,WIN,6.11,3.12,195.66,978.32
XRP/USDT,1h,SHORT,12,0,2,2,8,0.631,0.6361,0.6249,0.6208,0.812,55.3,False,RANGING,2024-03-24 20:00:00+00:00,2024-03-25 05:00:00+00:00,0.6361,SL,False,LOSS,-1.58,-0.81,195.67,978.36
BTC/USDT,15m,LONG,17,9,3,2,5,66432.1,64595.6,68635.9,70105.1,2.764,66.4,False,TRENDING,2024-03-24 20:15:00+00:00,2024-03-25 16:30:00+00:00,70105.1,TP2,True,WIN,9.89,4.42,223.51,1117.55
BNB/USDT,15m,LONG,16,8,3,2,5,567.0,553.9,582.72,593.2,2.31,68.5,False,TRENDING,2024-03-24 20:30:00+00:00,2024-03-25 15:15:00+00:00,593.2,TP2,True,WIN,8.06,3.7,218.15,1090.77
ADA/USDT,2h,LONG,13,0,1,4,8,0.6468,0.6163,0.6834,0.7078,4.716,58.4,False,RANGING,2024-03-24 22:00:00+00:00,2024-03-27 02:00:00+00:00,0.6628,TIMEOUT,True,WIN,9.76,4.07,240.11,1200.56
BTC/USDT,2h,LONG,14,0,4,2,8,67225.2,63522.2,71668.8,74631.2,5.508,62.9,False,RANGING,2024-03-24 22:00:00+00:00,2024-03-27 02:00:00+00:00,70398.0,TIMEOUT,False,WIN,9.39,4.72,199.02,995.1
ETH/USDT,30m,LONG,15,8,2,2,5,3460.01,3333.5,3611.82,3713.03,3.656,66.3,False,TRENDING,2024-03-24 23:00:00+00:00,2024-03-27 00:00:00+00:00,3595.22,TIMEOUT,True,WIN,9.01,4.15,217.18,1085.88
BTC/USDT,30m,LONG,16,9,2,2,5,67367.6,64595.6,70694.0,72911.6,4.115,71.1,False,TRENDING,2024-03-24 23:00:00+00:00,2024-03-27 00:00:00+00:00,70150.0,TIMEOUT,True,WIN,9.43,4.53,208.08,1040.42
AVAX/USDT,30m,LONG,16,9,2,2,5,55.7,52.4,59.66,62.3,5.921,73.2,False,TRENDING,2024-03-24 23:30:00+00:00,2024-03-27 00:30:00+00:00,56.441,TIMEOUT,False,WIN,3.06,1.33,229.89,1149.44
LINK/USDT,1h,LONG,13,0,3,2,8,18.4,17.98,18.91,19.25,2.304,61.9,False,RANGING,2024-03-25 00:00:00+00:00,2024-03-25 14:00:00+00:00,19.25,TP2,True,WIN,8.39,3.7,226.9,1134.52
SOL/USDT,1h,LONG,12,0,2,2,8,181.45,171.33,193.59,201.69,5.577,68.5,False,RANGING,2024-03-25 00:00:00+00:00,2024-03-27 02:00:00+00:00,191.76,TIMEOUT,True,WIN,17.62,6.19,284.84,1424.19
ETH/USDT,15m,LONG,18,10,3,2,5,3441.52,3375.62,3520.6,3573.32,1.915,57.4,False,TRENDING,2024-03-25 00:15:00+00:00,2024-03-25 15:00:00+00:00,3573.32,TP2,True,WIN,6.55,3.06,213.84,1069.21
SOL/USDT,15m,LONG,16,7,3,2,5,183.24,175.45,192.59,198.82,4.251,58.8,False,TRENDING,2024-03-25 00:15:00+00:00,2024-03-27 00:45:00+00:00,192.4,TIMEOUT,True,WIN,12.75,5.05,252.44,1262.19
DOGE/USDT,15m,LONG,15,7,0,1,8,0.1737,0.172,0.1758,0.1773,1.017,45.2,False,TRENDING,2024-03-25 00:30:00+00:00,2024-03-25 01:00:00+00:00,0.172,SL,False,LOSS,-2.02,-0.98,206.53,1032.65
AVAX/USDT,15m,LONG,16,9,0,1,8,55.25,53.66,57.16,58.44,2.887,56.8,False,TRENDING,2024-03-25 00:45:00+00:00,2024-03-25 14:00:00+00:00,58.44,TP2,True,WIN,9.66,4.62,209.27,1046.33
XRP/USDT,2h,LONG,13,0,3,2,8,0.6315,0.6131,0.6536,0.6683,2.914,56.3,False,RANGING,2024-03-25 02:00:00+00:00,2024-03-26 12:00:00+00:00,0.6315,SL_BE,True,WIN,3.71,1.75,211.78,1058.92
SOL/USDT,30m,LONG,14,9,0,2,5,183.93,172.41,197.75,206.97,6.263,66.2,False,TRENDING,2024-03-25 03:00:00+00:00,2024-03-27 04:00:00+00:00,190.05,TIMEOUT,False,WIN,7.33,3.33,220.42,1102.08
LINK/USDT,4h,LONG,10,0,0,2,8,18.62,17.32,20.18,21.22,6.97,58.1,False,TRENDING,2024-03-25 04:00:00+00:00,2024-03-27 12:00:00+00:00,19.151,TIMEOUT,True,WIN,12.18,5.61,216.95,1084.75
LINK/USDT,15m,LONG,20,10,3,1,8,18.68,18.37,19.04,19.28,1.622,58.1,False,TRENDING,2024-03-25 04:30:00+00:00,2024-03-25 15:00:00+00:00,19.28,TP2,True,WIN,5.82,2.57,226.58,1132.91
LINK/USDT,2h,SHORT,12,0,0,4,8,18.62,19.01,18.16,17.85,2.083,67.2,False,RANGING,2024-03-25 06:00:00+00:00,2024-03-25 10:00:00+00:00,19.01,SL,False,LOSS,-4.46,-2.09,212.91,1064.54
ETH/USDT,2h,LONG,12,0,2,2,8,3445.55,3300.26,3619.9,3736.13,4.217,63.4,False,RANGING,2024-03-25 06:00:00+00:00,2024-03-27 10:00:00+00:00,3586.58,TIMEOUT,True,WIN,10.04,4.58,219.46,1097.29
ETH/USDT,1h,SHORT,12,0,3,1,8,3449.88,3507.09,3381.23,3335.46,1.658,56.4,True,RANGING,2024-03-25 08:00:00+00:00,2024-03-25 14:00:00+00:00,3507.09,SL,False,LOSS,-3.69,-1.66,222.58,1112.89
AVAX/USDT,1h,LONG,14,8,1,2,5,56.49,52.4,61.39,64.66,7.235,62.9,True,RANGING,2024-03-25 08:00:00+00:00,2024-03-27 10:00:00+00:00,55.195,TIMEOUT,False,LOSS,-6.4,-2.29,279.09,1395.47
BNB/USDT,1h,LONG,17,9,3,2,5,580.2,553.8,611.88,633.0,4.55,69.0,True,TRENDING,2024-03-25 08:00:00+00:00,2024-03-27 10:00:00+00:00,578.4,TIMEOUT,False,LOSS,-0.61,-0.31,195.6,977.99
SOL/USDT,2h,LONG,17,8,2,4,5,187.96,171.33,207.92,221.22,8.848,70.9,True,TRENDING,2024-03-25 10:00:00+00:00,2024-03-27 14:00:00+00:00,181.19,TIMEOUT,False,LOSS,-9.36,-3.6,259.82,1299.11
BNB/USDT,30m,LONG,15,9,0,0,8,580.3,564.8,598.9,611.3,2.671,64.0,False,TRENDING,2024-03-25 11:00:00+00:00,2024-03-27 12:00:00+00:00,578.1,TIMEOUT,False,LOSS,-0.75,-0.38,196.89,984.43
LINK/USDT,30m,LONG,13,9,0,1,5,18.9,18.37,19.53,19.95,2.788,57.4,False,TRENDING,2024-03-25 11:30:00+00:00,2024-03-26 06:00:00+00:00,19.95,TP2,True,WIN,10.18,4.44,229.14,1145.71
XRP/USDT,1h,SHORT,12,0,2,2,8,0.6296,0.6375,0.6201,0.6138,1.255,44.3,False,RANGING,2024-03-25 12:00:00+00:00,2024-03-25 14:00:00+00:00,0.6375,SL,False,LOSS,-2.45,-1.25,195.36,976.78
DOGE/USDT,4h,LONG,13,8,0,2,5,0.1829,0.1453,0.228,0.258,20.538,58.0,True,TRENDING,2024-03-25 12:00:00+00:00,2024-03-27 20:00:00+00:00,0.1905,TIMEOUT,False,WIN,8.16,4.16,196.45,982.24
DOGE/USDT,1h,LONG,14,5,2,0,8,0.1716,0.1688,0.1749,0.1771,1.63,45.5,False,RANGING,2024-03-25 12:00:00+00:00,2024-03-25 15:00:00+00:00,0.1771,TP2,True,WIN,6.18,2.56,241.01,1205.04
DOGE/USDT,15m,LONG,13,0,1,4,8,0.1723,0.17,0.1751,0.1769,1.335,47.8,False,RANGING,2024-03-25 12:30:00+00:00,2024-03-25 14:15:00+00:00,0.1769,TP2,True,WIN,4.43,2.15,206.13,1030.63
ADA/USDT,1h,SHORT,12,0,2,2,8,0.6639,0.6712,0.6552,0.6494,1.095,68.0,True,RANGING,2024-03-25 16:00:00+00:00,2024-03-25 22:00:00+00:00,0.6639,SL_BE,True,WIN,1.58,0.66,240.97,1204.85
XRP/USDT,1h,SHORT,14,0,3,3,8,0.6528,0.6583,0.6462,0.6418,0.841,64.5,True,RANGING,2024-03-25 16:00:00+00:00,2024-03-25 19:00:00+00:00,0.6583,SL,False,LOSS,-1.64,-0.84,194.87,974.33
ETH/USDT,4h,LONG,20,6,4,3,8,3641.04,3246.0,4115.09,4431.12,10.85,65.1,False,TRENDING,2024-03-25 16:00:00+00:00,2024-03-28 00:00:00+00:00,3497.51,TIMEOUT,False,LOSS,-8.69,-3.94,220.5,1102.5
DOGE/USDT,1h,LONG,18,8,2,2,8,0.1822,0.17,0.1969,0.2067,6.711,71.0,True,TRENDING,2024-03-25 16:00:00+00:00,2024-03-27 18:00:00+00:00,0.18172,TIMEOUT,False,LOSS,-0.64,-0.26,242.24,1211.22
LINK/USDT,1h,LONG,15,9,1,2,5,19.42,18.15,20.93,21.95,6.51,73.4,True,TRENDING,2024-03-25 16:00:00+00:00,2024-03-27 18:00:00+00:00,19.02,TIMEOUT,False,LOSS,-4.71,-2.06,228.58,1142.91
LINK/USDT,15m,LONG,15,9,1,2,5,19.33,18.78,20.0,20.45,2.876,67.2,False,TRENDING,2024-03-25 16:30:00+00:00,2024-03-26 10:30:00+00:00,20.45,TP2,True,WIN,10.54,4.63,227.75,1138.73
BNB/USDT,15m,LONG,16,9,3,1,5,594.5,573.9,619.22,635.7,3.465,64.2,False,TRENDING,2024-03-25 16:30:00+00:00,2024-03-26 14:30:00+00:00,573.9,SL,False,LOSS,-7.62,-3.47,219.77,1098.83
AVAX/USDT,15m,LONG,19,9,0,4,8,58.19,56.78,59.89,61.02,2.43,56.3,False,TRENDING,2024-03-25 16:45:00+00:00,2024-03-26 12:00:00+00:00,56.78,SL,False,LOSS,-5.12,-2.42,211.2,1055.99
LINK/USDT,2h,LONG,16,9,2,2,5,19.45,17.98,21.22,22.4,7.584,72.1,False,TRENDING,2024-03-25 18:00:00+00:00,2024-03-27 22:00:00+00:00,19.295,TIMEOUT,False,LOSS,-1.69,-0.8,212.02,1060.08
AVAX/USDT,2h,LONG,16,9,2,2,5,58.15,52.4,65.04,69.63,9.877,66.4,False,TRENDING,2024-03-25 18:00:00+00:00,2024-03-27 22:00:00+00:00,54.115,TIMEOUT,False,LOSS,-17.9,-6.94,257.91,1289.55
DOGE/USDT,2h,LONG,20,10,0,4,8,0.1804,0.1612,0.2034,0.2188,10.655,64.6,False,TRENDING,2024-03-25 18:00:00+00:00,2024-03-27 22:00:00+00:00,0.1905,TIMEOUT,False,WIN,10.6,5.6,189.41,947.04
ADA/USDT,30m,LONG,14,9,0,2,5,0.6655,0.6379,0.6986,0.7207,4.147,65.1,False,TRENDING,2024-03-25 19:30:00+00:00,2024-03-27 14:00:00+00:00,0.6379,SL,False,LOSS,-8.94,-4.15,215.48,1077.39
ETH/USDT,15m,LONG,14,9,0,2,5,3636.26,3553.0,3736.17,3802.78,2.29,69.6,False,TRENDING,2024-03-25 20:15:00+00:00,2024-03-26 14:30:00+00:00,3553.0,SL,False,LOSS,-4.93,-2.29,215.15,1075.76
BTC/USDT,15m,LONG,14,9,0,2,5,70899.2,69136.4,73014.56,74424.8,2.486,70.6,False,TRENDING,2024-03-25 20:15:00+00:00,2024-03-27 14:00:00+00:00,69136.4,SL,False,LOSS,-5.61,-2.49,225.49,1127.44
DOGE/USDT,15m,LONG,20,10,3,1,8,0.1811,0.1785,0.1842,0.1863,1.43,56.2,False,TRENDING,2024-03-25 20:30:00+00:00,2024-03-25 21:15:00+00:00,0.1785,SL,False,LOSS,-2.97,-1.44,207.01,1035.06
ADA/USDT,15m,LONG,20,10,0,4,8,0.6657,0.6573,0.6758,0.6825,1.262,63.1,False,TRENDING,2024-03-25 20:30:00+00:00,2024-03-25 21:15:00+00:00,0.6573,SL,False,LOSS,-2.91,-1.26,230.86,1154.31
AVAX/USDT,4h,SHORT,13,0,0,5,8,58.29,60.2,56.01,54.49,3.263,60.9,False,RANGING,2024-03-26 00:00:00+00:00,2024-03-27 08:00:00+00:00,54.49,TP2,True,WIN,10.12,5.22,193.97,969.83
BTC/USDT,1h,LONG,16,9,2,2,5,69910.0,66584.9,73900.12,76560.2,4.756,63.6,False,TRENDING,2024-03-26 00:00:00+00:00,2024-03-28 02:00:00+00:00,69186.7,TIMEOUT,False,LOSS,-2.33,-1.03,225.39,1126.97
ADA/USDT,15m,LONG,17,5,2,3,8,0.6615,0.6537,0.6709,0.6771,1.179,47.3,False,TRENDING,2024-03-26 00:30:00+00:00,2024-03-26 07:00:00+00:00,0.6771,TP2,True,WIN,4.35,1.89,230.28,1151.4
DOGE/USDT,15m,LONG,14,5,2,0,8,0.1771,0.1747,0.1801,0.182,1.383,42.4,False,RANGING,2024-03-26 00:30:00+00:00,2024-03-26 07:15:00+00:00,0.182,TP2,True,WIN,4.6,2.23,206.42,1032.09
XRP/USDT,15m,LONG,15,5,2,1,8,0.6439,0.6378,0.6512,0.6561,0.947,47.1,False,TRENDING,2024-03-26 00:30:00+00:00,2024-03-26 11:30:00+00:00,0.6439,SL_BE,True,WIN,1.28,0.57,226.36,1131.8
SOL/USDT,4h,LONG,22,8,4,4,8,193.96,168.16,224.92,245.56,13.302,64.4,False,TRENDING,2024-03-26 04:00:00+00:00,2024-03-28 12:00:00+00:00,187.36,TIMEOUT,False,LOSS,-9.1,-3.4,267.47,1337.36
ETH/USDT,1h,SHORT,11,0,2,4,5,3640.29,3676.74,3596.55,3567.39,1.001,67.4,False,TRENDING,2024-03-26 04:00:00+00:00,2024-03-26 07:00:00+00:00,3676.74,SL,False,LOSS,-2.22,-1.0,221.84,1109.2
LINK/USDT,30m,LONG,18,9,1,2,8,19.87,19.19,20.69,21.24,3.432,74.8,True,TRENDING,2024-03-26 07:30:00+00:00,2024-03-26 14:30:00+00:00,19.87,SL_BE,True,WIN,4.77,2.06,231.18,1155.89
ETH/USDT,1h,SHORT,14,0,2,4,8,3654.82,3689.47,3613.24,3585.52,0.948,65.1,True,TRENDING,2024-03-26 08:00:00+00:00,2024-03-26 14:00:00+00:00,3585.52,TP2,True,WIN,3.36,1.52,221.4,1106.98
ADA/USDT,4h,SHORT,13,0,1,4,8,0.6763,0.6918,0.6577,0.6454,2.286,65.7,False,TRENDING,2024-03-26 08:00:00+00:00,2024-03-27 08:00:00+00:00,0.6454,TP2,True,WIN,7.76,3.66,212.04,1060.22
ADA/USDT,1h,SHORT,13,0,1,4,8,0.6755,0.6822,0.6674,0.662,0.996,65.4,True,RANGING,2024-03-26 08:00:00+00:00,2024-03-26 10:00:00+00:00,0.6822,SL,False,LOSS,-2.39,-0.99,241.29,1206.43
ADA/USDT,15m,LONG,18,9,2,4,5,0.6765,0.6639,0.6916,0.7017,1.863,58.6,True,TRENDING,2024-03-26 08:30:00+00:00,2024-03-26 12:00:00+00:00,0.6639,SL,False,LOSS,-4.31,-1.86,231.15,1155.75
DOGE/USDT,15m,LONG,21,8,3,4,8,0.1841,0.1769,0.1927,0.1985,3.905,51.1,True,TRENDING,2024-03-26 08:30:00+00:00,2024-03-26 14:15:00+00:00,0.1769,SL,False,LOSS,-8.11,-3.91,207.34,1036.69
ADA/USDT,1h,LONG,12,0,2,2,8,0.6754,0.6537,0.7014,0.7188,3.213,63.8,False,RANGING,2024-03-26 12:00:00+00:00,2024-03-26 14:00:00+00:00,0.6537,SL,False,LOSS,-7.74,-3.21,240.81,1204.04
ADA/USDT,15m,LONG,14,10,0,1,5,0.6768,0.65,0.709,0.7304,3.96,51.2,False,TRENDING,2024-03-26 12:30:00+00:00,2024-03-27 07:15:00+00:00,0.65,SL,False,LOSS,-9.12,-3.96,230.29,1151.44
XRP/USDT,15m,SHORT,12,0,2,2,8,0.6445,0.6531,0.6342,0.6273,1.334,43.0,False,RANGING,2024-03-26 12:30:00+00:00,2024-03-26 14:30:00+00:00,0.6273,TP2,True,WIN,4.83,2.13,226.62,1133.08
AVAX/USDT,15m,SHORT,12,0,2,2,8,57.96,59.3,56.36,55.29,2.308,45.1,False,RANGING,2024-03-26 12:45:00+00:00,2024-03-27 07:15:00+00:00,55.29,TP2,True,WIN,7.74,3.68,210.17,1050.87
BNB/USDT,2h,LONG,14,9,0,2,5,579.5,562.5,599.9,613.5,2.934,54.9,False,RANGING,2024-03-26 14:00:00+00:00,2024-03-28 18:00:00+00:00,581.9,TIMEOUT,False,WIN,0.79,0.41,191.38,956.88
XRP/USDT,30m,LONG,14,3,0,4,8,0.6326,0.6257,0.6409,0.6464,1.091,38.5,True,TRENDING,2024-03-26 15:00:00+00:00,2024-03-26 16:30:00+00:00,0.6257,SL,False,LOSS,-2.2,-1.09,201.55,1007.77
XRP/USDT,1h,SHORT,13,0,3,2,8,0.629,0.663,0.5882,0.561,5.405,39.5,True,RANGING,2024-03-26 16:00:00+00:00,2024-03-28 18:00:00+00:00,0.6301,TIMEOUT,False,LOSS,-0.34,-0.17,194.54,972.69
ETH/USDT,1h,LONG,11,0,0,3,8,3562.53,3524.83,3607.76,3637.92,1.058,49.2,True,TRENDING,2024-03-26 16:00:00+00:00,2024-03-27 07:00:00+00:00,3562.53,SL_BE,True,WIN,1.41,0.63,222.07,1110.34
ADA/USDT,1h,SHORT,13,0,3,2,8,0.6551,0.685,0.6192,0.5953,4.564,47.7,True,RANGING,2024-03-26 16:00:00+00:00,2024-03-28 18:00:00+00:00,0.6504,TIMEOUT,False,WIN,1.72,0.72,239.26,1196.3
BTC/USDT,4h,LONG,17,9,3,2,5,69488.4,63522.2,76647.84,81420.8,8.586,65.8,False,TRENDING,2024-03-26 16:00:00+00:00,2024-03-29 00:00:00+00:00,70471.1,TIMEOUT,False,WIN,2.63,1.41,185.9,929.51
ETH/USDT,15m,LONG,11,1,0,2,8,3564.12,3541.6,3591.15,3609.17,0.632,35.9,False,TRENDING,2024-03-26 16:15:00+00:00,2024-03-26 19:00:00+00:00,3564.12,SL_BE,True,WIN,0.81,0.38,214.17,1070.83
XRP/USDT,15m,LONG,11,0,1,2,8,0.6264,0.6223,0.6313,0.6346,0.655,31.5,False,TRENDING,2024-03-26 16:30:00+00:00,2024-03-26 18:30:00+00:00,0.6346,TP2,True,WIN,2.38,1.05,227.58,1137.91
DOGE/USDT,15m,LONG,12,1,1,2,8,0.1754,0.1728,0.1786,0.1808,1.518,35.8,False,TRENDING,2024-03-26 16:30:00+00:00,2024-03-26 19:00:00+00:00,0.1754,SL_BE,True,WIN,1.88,0.91,205.72,1028.58
